corp_code,corp_name,corp_sales_2014,corp_sales_2015,corp_sales_2016,corp_sales_2017,corp_sales_2018,corp_sales_2019,corp_sales_2020,corp_sales_2021,corp_sales_2022,2014,2015,2016,2017,2018,2019,2020,2021,2022
148540,CJ,"19,572,301,244,000","21,166,707,211,000","23,954,197,397,000","26,898,599,989,000","29,523,435,477,000","33,779,706,665,000","31,999,102,947,000","34,484,026,554,000","40,924,879,773,000",326,366,393,518,485,475,504,534,582
265324,CJ ENM,"2,604,907,441,415","2,308,605,389,638","2,208,596,188,143","2,260,006,796,348","2,360,375,323,914","3,789,723,949,697","3,391,184,002,869","3,552,396,542,302","4,792,237,788,876",85,79,76,87,95,96,122,140,133
113410,CJ대한통운,"4,560,087,295,134","5,055,766,403,519","6,081,945,642,204","7,110,391,207,800","9,219,680,477,069","10,415,108,625,820","10,781,127,150,206","11,343,651,787,492","12,130,712,862,374",156,221,300,424,498,523,915,895,760
635134,CJ제일제당,"11,701,797,228,000","12,924,472,295,000","14,563,257,246,000","16,477,174,023,000","18,670,059,989,000","22,352,462,296,000","24,245,725,654,000","26,289,227,767,000","30,079,513,121,000",32,39,66,109,93,96,244,503,495
127954,CJ프레시웨이,"1,795,277,457,192","2,072,357,920,441","2,327,923,602,211","2,504,409,846,296","2,828,072,306,744","3,055,080,973,511","2,478,528,727,709","2,291,433,979,355","2,747,691,651,727",79,112,137,124,135,166,201,154,181
160843,DB하이텍,"567,718,224,015","666,594,986,583","773,140,180,180","679,737,743,507","669,279,136,472","807,416,422,918","935,919,766,484","1,214,682,040,178","1,675,287,533,666",1007,1000,884,775,655,567,592,516,464
109693,DL,"9,294,733,962,485","9,513,673,300,027","9,853,769,999,134","12,335,536,232,606","10,984,485,292,300","9,700,078,891,564","1,566,148,811,684","2,385,420,753,496","5,170,810,757,434",364,370,343,355,344,358,339,401,409
116949,DN오토모티브,"721,986,989,716","910,458,499,136","959,031,647,029","877,858,995,478","908,521,022,197","929,772,577,258","803,096,377,188","930,752,730,400","3,156,376,223,570",0,4,3,1,4,1,0,7,28
500254,GS,"10,811,167,000,000","12,179,510,000,000","13,462,426,000,000","16,209,942,000,000","17,744,385,000,000","17,786,063,000,000","15,346,150,000,000","20,165,049,000,000","28,777,048,000,000",713,728,683,667,728,736,665,804,785
120030,GS건설,"9,487,551,635,482","10,572,620,348,180","11,035,596,402,664","11,679,456,006,382","13,139,372,923,261","10,416,589,201,821","10,122,930,837,450","9,036,575,422,803","12,299,196,214,752",592,620,800,738,651,479,521,770,407
140177,GS리테일,"4,962,383,688,157","6,273,142,139,696","7,402,005,717,696","8,266,567,147,681","8,691,612,313,033","9,006,928,792,999","8,764,254,763,494","9,690,659,322,385","11,226,428,523,558",159,205,320,297,204,154,243,376,244
164636,HDC,"4,477,376,534,012","4,602,608,741,640","4,749,886,365,818","5,358,684,696,822","1,547,840,798,825","1,616,692,249,290","3,951,863,002,088","4,779,586,328,802","5,044,944,531,629",751,725,807,756,689,663,736,648,739
164830,HD한국조선해양,"52,787,283,421,000","46,317,640,151,000","39,320,377,292,000","15,468,835,510,000","13,161,045,950,000","15,182,553,166,000","14,903,657,734,000","15,493,381,773,000","17,302,020,185,000",0,17,84,110,142,100,168,318,180
344287,HD현대인프라코어,"6,366,106,812,867","5,964,894,252,082","5,729,550,204,080","6,567,897,225,498","7,730,107,942,853","8,185,839,945,377","3,988,103,997,064","4,593,665,146,349","4,756,113,501,671",190,193,117,102,122,121,143,181,143
299002,HL홀딩스,"918,655,689,762","892,102,730,570","1,001,167,188,848","922,195,940,388","886,548,282,858","798,365,158,872","735,797,639,327","1,041,158,412,406","1,277,106,070,054",27,37,33,33,31,39,35,56,52
164645,HMM,"6,515,039,000,000","5,645,057,000,000","4,584,810,000,000","5,028,016,000,000","5,222,124,000,000","5,513,089,000,000","6,413,270,000,000","13,794,148,000,000","18,582,770,000,000",186,233,284,359,445,494,568,629,497
572905,ISC,"73,989,286,384","99,039,486,194","93,636,334,404","114,082,892,658","101,865,962,869","87,678,824,284","121,769,458,607","144,669,824,213","178,871,264,564",362,361,690,408,395,406,394,393,485
149947,JW중외제약,"412,791,234,928","434,352,380,163","467,465,120,987","502,918,586,614","537,181,974,037","511,335,342,733","547,335,707,795","606,584,944,778","684,351,099,249",8,91,104,80,56,26,76,43,29
258689,JYP Ent.,"48,482,476,509","50,557,050,960","73,645,282,523","102,241,863,796","124,821,138,131","155,435,844,908","144,399,021,991","193,899,561,773","345,892,110,215",7,11,6,3,1,3,4,4,7
115676,KG스틸,"3,024,439,786,290","2,320,792,156,552","2,328,039,348,201","2,596,196,910,511","2,545,097,237,645","2,428,250,197,414","2,342,443,590,900","3,354,789,186,331","3,819,689,027,832",440,430,393,486,295,154,196,651,254
264547,KG이니시스,"547,791,152,549","696,865,681,514","701,048,399,482","758,453,344,356","924,624,291,411","956,102,653,732","810,154,514,318","1,011,974,554,186","1,177,624,552,737",96,128,105,87,139,124,183,176,203
593032,LF,"1,460,156,058,019","1,571,047,846,008","1,529,296,618,527","1,602,059,905,297","1,706,682,100,310","1,851,716,801,127","1,610,459,972,097","1,793,103,979,720","1,968,540,364,635",830,899,922,948,981,969,1027,1081,1144
120021,LG,"9,863,208,000,000","9,965,365,000,000","10,725,374,000,000","11,841,058,000,000","7,743,355,000,000","6,575,339,000,000","5,199,070,000,000","6,859,010,000,000","7,185,987,000,000",480,443,439,451,460,475,576,543,526
356370,LG생활건강,"4,677,009,785,453","5,328,492,268,366","6,094,059,406,134","6,270,463,509,780","6,747,536,801,608","7,685,424,230,297","7,844,506,057,131","8,091,511,297,961","7,185,759,184,335",76,87,117,151,130,215,314,239,234
105961,LG이노텍,"6,466,119,296,270","6,138,128,790,832","5,754,565,528,569","7,641,360,524,432","7,982,103,642,672","8,302,068,230,724","9,541,789,540,547","14,945,609,219,058","19,589,409,483,381",489,485,468,556,527,482,645,810,597
401731,LG전자,"59,040,767,000,000","56,509,008,000,000","55,367,033,000,000","61,396,284,000,000","61,341,664,000,000","62,306,175,000,000","57,176,170,000,000","73,907,984,000,000","83,467,318,000,000",196,278,241,326,310,306,373,522,457
356361,LG화학,"22,577,830,000,000","20,206,583,000,000","20,659,296,000,000","25,698,014,000,000","28,183,013,000,000","28,625,042,000,000","29,984,350,000,000","42,599,284,000,000","51,864,888,000,000",262,304,295,317,341,345,485,767,602
503668,LIG넥스원,"1,400,163,624,805","1,903,704,148,042","1,860,784,769,772","1,761,316,227,366","1,477,507,584,978","1,452,651,352,252","1,600,344,315,019","1,822,194,315,440","2,220,751,868,438",267,518,572,716,622,426,392,542,513
105952,LS,"10,883,348,000,000","9,999,749,000,000","9,621,313,000,000","9,515,114,000,000","10,092,726,000,000","10,176,243,000,000","10,273,262,000,000","12,829,274,000,000","17,491,338,000,000",1050,1043,997,1007,969,920,943,941,986
525934,LX세미콘,"390,705,091,245","535,837,006,179","610,043,215,195","692,761,282,198","791,818,131,828","867,122,049,614","1,161,896,286,020","1,898,845,716,028","2,119,345,363,613",221,237,191,215,264,227,248,462,303
120076,LX인터내셔널,"11,372,192,849,605","13,224,458,801,454","11,966,717,411,723","12,827,237,443,495","9,988,224,865,921","10,530,857,111,717","11,282,632,389,570","16,686,532,633,651","18,759,549,404,034",135,165,137,196,217,157,225,325,396
357740,NHN KCP,"153,968,266,220","195,466,232,757","272,132,527,829","351,989,348,223","432,658,308,997","469,897,621,518","624,840,094,623","745,418,208,065","822,763,112,832",23,0,9,44,38,32,66,55,73
148896,OCI홀딩스,"2,420,464,774,000","2,301,520,602,000","2,739,362,364,000","3,631,633,189,000","3,112,143,978,000","2,605,142,204,000","2,002,516,778,000","3,243,996,752,000","4,671,316,051,000",855,848,850,842,833,811,819,803,883
138279,S-Oil,"28,557,562,000,000","17,890,272,000,000","16,321,843,000,000","20,891,374,000,000","25,463,295,000,000","24,394,173,000,000","16,829,681,000,000","27,463,918,000,000","42,446,028,000,000",488,620,537,514,659,894,806,892,956
301246,SFA반도체,"519,127,825,685","516,477,480,409","429,214,598,735","449,558,231,423","457,853,090,116","588,938,237,876","573,077,540,339","641,108,819,687","699,412,110,637",2,0,37,68,62,126,182,320,114
138260,SIMPAC,"263,152,264,046","269,528,038,069","267,074,156,243","230,634,812,062","306,150,808,985","430,085,162,178","365,863,303,046","613,012,779,571","672,228,713,099",73,70,79,83,80,78,71,73,77
139889,SKC,"2,802,235,022,211","2,465,721,171,654","2,359,440,143,632","2,653,544,415,383","2,767,834,347,283","2,539,766,499,160","1,465,674,701,601","2,264,207,086,420","3,138,910,077,125",176,185,243,215,173,232,220,463,591
144164,SK가스,"5,943,465,084,355","4,078,985,547,656","5,254,738,368,500","6,689,683,933,938","6,859,163,776,452","4,931,073,628,033","4,412,318,983,220","6,494,513,185,952","8,066,169,118,262",332,478,438,424,475,443,644,731,678
131832,SK디스커버리,"7,283,608,288,580","5,269,175,684,527","6,526,064,902,354","6,746,687,324,922","6,939,172,192,873","5,021,067,627,852","4,519,464,055,798","6,614,328,160,700","8,717,115,148,765",383,443,393,508,488,550,659,921,700
631518,SK이노베이션,"65,860,712,618,000","48,356,320,414,000","39,520,538,747,000","46,260,932,050,000","54,216,524,175,000","49,876,534,172,000","34,549,940,259,000","46,853,415,718,000","78,056,939,448,000",220,188,228,277,214,187,389,497,444
164779,SK하이닉스,"17,125,566,000,000","18,797,998,000,000","17,197,975,000,000","30,109,434,000,000","40,445,066,000,000","26,990,733,000,000","31,900,418,000,000","42,997,792,000,000","44,621,568,000,000",747,732,821,749,706,643,739,643,744
398792,SNT모티브,"1,099,294,315,549","1,210,524,500,386","1,153,810,828,300","1,137,470,938,437","918,910,018,030","976,273,915,234","940,745,523,369","941,744,683,893","1,044,860,611,248",85,69,64,61,52,60,76,87,97
125530,SPC삼립,"1,107,627,826,810","1,373,768,365,388","1,870,335,371,370","2,065,510,858,297","2,220,233,843,148","2,499,238,195,608","2,542,709,430,184","2,946,653,786,654","3,314,547,280,509",79,82,90,91,93,95,94,90,252
117230,TYM,-,"357,489,527,348","375,475,432,634","528,335,206,354","589,909,834,879","617,355,468,463","713,300,783,396","841,455,916,467","1,166,138,766,862",223,236,320,283,252,173,205,227,165
255619,강원랜드,"1,496,541,441,333","1,633,716,838,652","1,696,532,510,857","1,604,470,054,656","1,438,059,298,970","1,520,080,448,803","478,578,866,341","788,432,829,925","1,270,685,819,109",507,503,491,500,545,514,454,437,446
101488,경동나비엔,"428,985,364,617","512,031,119,598","583,252,904,474","684,660,957,517","726,741,615,298","774,290,704,230","873,409,018,805","1,102,947,009,588","1,160,860,788,602",83,87,81,82,76,79,126,171,77
102858,고려아연,"4,938,531,767,644","4,771,442,958,357","5,847,513,111,727","6,596,671,356,857","6,883,323,139,792","6,694,810,889,702","7,581,926,858,435","9,976,776,443,636","11,219,358,600,107",429,548,478,707,664,598,644,698,447
103006,고려제강,"1,341,239,002,725","1,473,202,476,824","1,417,444,526,247","1,550,456,862,874","1,577,235,683,490","1,639,715,935,474","1,397,372,009,900","1,691,354,877,090","2,072,550,223,138",42,101,77,115,69,58,58,77,59
104388,국도화학,"977,957,814,790","1,011,877,773,027","952,633,435,802","1,075,981,116,895","1,280,615,689,942","1,121,448,682,521","1,132,659,694,859","1,577,111,746,723","1,601,774,176,672",191,231,280,364,190,186,182,229,157
129679,녹십자,"975,327,105,732","1,047,812,247,334","1,197,903,918,398","1,287,916,286,216","1,334,877,810,113","1,369,709,726,800","1,504,115,278,649","1,537,825,750,251","1,711,312,739,533",336,443,423,434,436,387,769,757,414
108241,농심,"2,041,702,670,000","2,181,623,581,013","2,217,015,272,133","2,208,260,639,714","2,236,436,214,583","2,343,942,951,727","2,639,795,633,339","2,662,982,988,213","3,129,065,208,087",602,584,541,537,507,511,613,561,520
176914,다우기술,"771,976,045,156","1,038,501,857,685","1,153,420,151,411","1,351,213,660,827","2,202,395,571,443","2,901,833,125,630","4,732,935,103,980","6,086,980,401,897","9,210,610,313,082",192,228,194,172,201,131,216,215,216
121941,대상,"2,588,779,872,055","2,635,005,300,502","2,855,008,995,855","2,968,804,984,474","2,956,761,915,895","2,963,985,752,603","3,113,203,668,119","3,469,992,522,829","4,084,090,277,577",115,99,50,49,72,52,57,62,104
124540,대우건설,"9,995,022,699,141","9,889,964,979,869","11,105,930,097,764","11,766,840,487,669","10,605,493,844,509","8,651,852,221,280","8,136,705,736,642","8,685,207,679,669","10,419,213,132,139",727,733,685,674,734,748,684,819,811
427483,대웅제약,"735,889,423,941","839,686,478,174","883,920,424,600","960,307,423,040","1,031,427,425,529","1,113,425,920,883","1,055,423,689,996","1,152,975,698,170","1,280,091,851,013",170,174,230,258,273,240,531,437,276
113225,대한제강,"1,044,104,180,928","889,656,319,821","897,912,292,889","1,228,533,936,027","1,133,817,360,766","1,021,712,425,889","1,096,134,815,196","2,030,305,293,579","2,141,616,301,745",162,118,129,154,89,77,85,245,106
113526,대한항공,"11,909,748,647,633","11,544,831,301,113","11,731,852,588,629","12,092,211,497,503","13,011,645,223,989","12,683,407,264,566","7,610,530,916,271","9,016,824,640,301","14,096,094,819,146",237,238,256,551,502,430,574,851,623
526599,덴티움,"85,763,139,425","95,489,314,478","120,033,552,217","150,645,643,719","186,316,233,652","252,587,272,923","229,749,431,321","291,529,687,471","355,865,975,045",73,46,103,170,171,245,176,227,239
114808,동국제약,"226,014,177,947","259,929,994,536","309,690,117,405","354,767,875,845","400,807,087,433","482,280,354,140","559,103,459,208","594,193,122,293","661,647,492,300",42,35,72,71,84,98,177,208,137
114792,동국홀딩스,"6,068,531,496,000","5,266,301,664,000","5,006,583,137,000","6,049,348,882,989","5,964,930,870,893","5,658,431,459,389","5,206,191,561,313","7,240,296,531,105","8,511,126,283,083",265,306,290,294,291,300,614,702,487
340917,동원F&B,"1,794,888,216,055","1,931,040,795,613","2,241,255,930,227","2,552,621,331,497","2,802,526,253,207","3,030,257,743,369","3,170,259,266,523","3,490,623,256,796","4,023,577,593,976",46,57,63,51,55,55,75,97,71
132637,동원시스템즈,"754,599,078,757","1,218,348,270,964","1,300,758,722,950","1,283,193,348,144","1,026,318,922,641","1,042,352,585,053","1,078,539,543,985","1,250,882,270,311","1,436,999,451,562",109,177,119,108,121,128,80,139,86
118804,동진쎄미켐,"669,575,437,932","709,287,907,069","764,955,940,617","785,154,565,399","827,231,161,595","875,254,175,031","937,800,799,678","1,161,284,077,161","1,457,214,808,307",795,866,887,905,948,926,1003,1050,1121
117212,두산,"18,191,079,536,277","16,902,387,343,538","16,410,692,545,519","17,585,204,591,735","17,449,299,798,017","18,535,738,102,242","11,100,257,138,777","12,851,485,792,017","16,995,760,103,010",67,75,69,69,80,61,69,92,78
561866,락앤락,"421,611,592,295","407,085,372,489","425,063,515,117","417,407,199,297","434,348,760,174","485,992,890,534","501,984,850,630","543,037,527,228","521,216,116,746",452,369,343,330,336,327,406,446,473
157681,롯데정밀화학,"1,210,498,128,559","1,161,863,356,527","1,110,703,817,498","1,159,511,373,950","1,371,695,610,536","1,311,271,455,369","1,263,635,638,072","1,780,293,056,795","2,463,759,308,094",140,152,136,165,179,236,514,782,343
549925,루트로닉,"65,077,842,089","72,091,946,786","84,496,686,275","85,772,313,969","92,141,601,119","115,256,850,407","115,564,615,401","173,643,347,332","264,153,517,211",71,115,116,90,129,90,76,79,74
580199,메디톡스,"75,892,307,994","88,505,437,514","133,255,671,034","181,239,191,116","205,444,934,515","205,900,275,787","140,827,514,747","184,869,547,955","195,096,220,132",112,173,163,158,202,224,646,296,109
